token_id,operator,cohort,mint_recipient,first_cluster_owner,current_owner,current_owner_in_cluster,cluster_owners_ever,n_cluster_owners_ever,pool_id,pool_label,token0,token0_symbol,token1,token1_symbol,fee,fee_pct,tick_spacing,hooks,hooked,topology,mint_block,mint_tx,minted_directly,current_liquidity,active
496433,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,PRIMARY,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,True,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xa104da73dcf8fca12ce64aacc3cef9d2c64e1424d11066e8d17c252762a1c0d3,,0x479bd85ae0e9f81a49c1865713296e1797cbaba3,Pools,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,870000,87.0,8700,0x0000000000000000000000000000000000000000,False,token/stable,28883645,0x6da069192abf65dbb0bcefa36e6b79184002da0135c61871ab524c115c7817dd,True,4786243794350411,True
496487,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x5ab3ec743671dc1db0a8be5ad6adac14e5176e5770c23562e168aa8cb9361d61,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xc85900e8f3dccaffca9bea55fc6a5462804c1bcc,CASHDOG,991010,99.101,9910,0x0000000000000000000000000000000000000000,False,token/stable,28884599,0x520968713d70fa5037fb542d9a0231fb4871a8e78d9e19f1c20f6e2e6091d0b4,True,401494741161350,True
496508,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xc5392c5a721eb1211cbf4cbad848903624ff7bd5b6d8c7256dd9d8bf7782794e,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xc85900e8f3dccaffca9bea55fc6a5462804c1bcc,CASHDOG,900000,90.0,18000,0x0000000000000000000000000000000000000000,False,token/stable,28885103,0x42d90960adda07e64b78998b9f6a8f0d23cbd8c20ad553de8b1bb4e9d1477b78,True,206618168526141,True
496533,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x734d9ecaf6b415b2fff63e9974ea3bb3a88f3dc4ef31e4786b1573780d14631b,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xc85900e8f3dccaffca9bea55fc6a5462804c1bcc,CASHDOG,897110,89.711,8971,0x0000000000000000000000000000000000000000,False,token/stable,28885708,0xd0bc611982480cd8bb732eb53547b8edc53a5555928317fd660ab625733db0de,True,150101915711309,True
496546,0x1983824aa3cf023dfd233115e801520b9d49a258,SECONDARY,0x1983824aa3cf023dfd233115e801520b9d49a258,0x1983824aa3cf023dfd233115e801520b9d49a258,0x1983824aa3cf023dfd233115e801520b9d49a258,True,0x1983824aa3cf023dfd233115e801520b9d49a258,1,0x90b2c973e4f796726f1c0a2a0dba471b3bca7ccc2da61e21b314348ec5bbbe14,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0xef0a84b16902efcd41fa001bd6473c64876b93b0,WORTH,990000,99.0,9900,0x0000000000000000000000000000000000000000,False,token/stable,28886003,0x875b5773cbefa2f8b9d0c36b98c22612417818843c4c5673863794737599e395,True,0,False
496633,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x42b6851e6cf18fe315700fe8b19c52128423cf8aaa47bc2d555b754d13758454,,0x5cd69905d7349494da7ebaf8bfe27614a70fbba3,Flamingo,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,991010,99.101,9910,0x0000000000000000000000000000000000000000,False,token/stable,28887901,0xf2079c28199f63d74e1e1386d38356b85744cba818c4186b0b136552e877b56e,True,3162125305851924,True
496656,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xd2116fd583701aa9fe11254d7eff402903fa3e968731ec5dfb4b4b6eb608bdb6,,0x5cd69905d7349494da7ebaf8bfe27614a70fbba3,Flamingo,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,870000,87.0,8700,0x0000000000000000000000000000000000000000,False,token/stable,28888391,0x27c0dce230c04855de3bce0edf6ec9cbe1b084d9d7198fc0b3172ca38412f443,True,3109159270255455,True
496815,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0x167dbc6bd9f0a6a8eb2bb01b78b44fa413425c0414bdc6302b13ddc05d2677d6,,0x24e52ae9e656b43f7e26ca82d315543d7e662ba3,DUCK,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,991010,99.101,9910,0x0000000000000000000000000000000000000000,False,token/stable,28891576,0xf3cde9f03e8e23ac8f8256197993fc2565e60fa3a6827df3829bb114698acc7d,True,5000149266799644,True
497072,0xe49193acd219557a150e35ccc2a66f89c42482e6,PRIMARY,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,0xe49193acd219557a150e35ccc2a66f89c42482e6,True,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xc0e6a4e7c83eaad6baf9528e417b2bfc9b70f81d11562f8facb5497284483968,,0x56e03abe2407ba634a41a83db2f48583eadd2a60,FROGS,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,991010,99.101,9910,0x0000000000000000000000000000000000000000,False,token/stable,28896104,0xff2dde19a46c3662b4da49923f9b14ed882acffe48f82c09e70ee0f7f3909e1b,True,966330984441085,True
497411,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,SECONDARY,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,True,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xf61cc7effebc3b32e7f10089d313595ae3f5dae376ecfcf88fcfcba25b02dcb1,,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,0x851a467a60b917d37dba8547a07cf7a07a17ffe2,MEOWSHI,350650,35.065,3500,0x0000000000000000000000000000000000000000,False,token/stable,28901106,0x490cdfc775b78ca2c88e2db2d3323749ed1f17020dc3e122aafa9378034c69cb,True,0,False
