tx_hash,block,timestamp,tx_from,native_value_eth,input_token_class,tokens_sent_by_eoa,tokens_recv_by_eoa,v4_hops,n_v4_hops,suspect_legs,suspect_usdg_in,suspect_fire_out,swap_sender
0x97b9df076fe1a90f52805aa1e411b3aea2d37c841459cb7e946b4df94e341ce7,17748013,2026-07-24T01:17:53+00:00,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,0,FIRE,FIRE:5198.175976119336126776,USDG:3.378153,FIRE/USDG@400000,1,1,3.395128,5198.175976119336,0xa687b664662b96b180346d699a6d5b42e9b05d31
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,17963321,2026-07-24T07:18:05+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,8.909087,17447.42530921694,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x3197c6af0b19100f22c80abb90ddbdcd138ce555aee809b41b9e92a39029e604,17963828,2026-07-24T07:18:56+00:00,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,0,none_from_eoa,,,USDG/VIRTUAL@3000 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,16.04555,36111.55646465156,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x15fb712a8b6537854383ca2ad14d3d02eb1a0f8ef528600583ab23eccef738df,17963837,2026-07-24T07:18:57+00:00,0x440e1da19f8569b5d92bc935707461a9f883df2f,0,none_from_eoa,,,FIRE/USDG@25000 -> FIRE/USDG@400000,2,1,0.606295,1072.6299189816298,0x5162700f6f252136cd8a2d7bb827b799f11a1a45
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,18275319,2026-07-24T15:59:45+00:00,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000 -> USDG/VIRTUAL@3000,3,1,25.373037,20892.76680204539,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x4666c008a31e451e8d3c630dca2bbc42bc05f0cc3c9ad314b5c335bd4f0cf1a2,18275319,2026-07-24T15:59:45+00:00,0xe858582b200ed580c840b8c24f37560a68406584,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> USDG/VIRTUAL@3000,3,1,117.384008,113667.72704575883,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x540816d819d8654e93f3089de0b4df63db6f0599e805ac3c32614312540d7884,18276435,2026-07-24T16:01:37+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.126464,ETH/USDG@460 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,5.015352,7692.456909711918,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,18278116,2026-07-24T16:04:25+00:00,0x43370308b53e3611521ba48e2f7632a5644d7b1f,0,none_from_eoa,,,FIRE/USDG@500000,1,1,2.544418,4045.0592960165,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,18288047,2026-07-24T16:21:00+00:00,0x433700890211c1c776c391d414cffd38efdd1811,0,none_from_eoa,,,FIRE/USDG@500000,1,1,2.854402,4657.8328240988,0x8f10b468b06c6fd214b65f87778827f7d113f996
0x196f54a32b18ed5f42bf93c85c76bffbb0fa7d979dc8fa5a53260104d097b929,18349429,2026-07-24T18:03:27+00:00,0xdf465f1a0ec31f5d14e8c61179b71e382f97e794,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000,2,1,8.038471,9174.547736784783,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d
0xa61be5392ead1d2f84d2e9088f3312f8dbc91a029bb41df80361aac0223fbcec,18349429,2026-07-24T18:03:27+00:00,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,13.536994,18054.640133541987,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,18349880,2026-07-24T18:04:12+00:00,0x4337011463ef6bd863e47e7b5e743d2522261131,0,none_from_eoa,,,FIRE/USDG@500000,1,1,2.939952,4210.894902325255,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x8ddbf89426cce4bade978c96eb5f25d0e0e04a71058ec9216f00351cefdb89f5,18354132,2026-07-24T18:11:18+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.073008,ETH/USDG@500 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,4.073008,6013.973716279914,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0xd9e13b883b337272b5fe7116a77c1cce3aab2b25bd5be1328633090937c46d85,18355596,2026-07-24T18:13:43+00:00,0x718a74deadeb8bdcbcbf2fd0e228f4b41b92cab7,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000 -> WETH/USDG@200,3,1,12.338182,13608.587737265114,0x4c4353e0d893c9d3114b3ce1d9e4b802e687ad0d
