order_tx,block,tx_index,log_index,router_sender,router_family,selected_pool,selected_fee,selected_hooked,fire_in,selected_output,invariant_ok,n_alternatives,best_pool,best_fee,best_hooked,best_output,direct_pool_regret_bps,best_hookless_pool,best_hookless_fee,hookless_regret_bps,cheap_alt_fee,cheap_alt_regret_bps,alt_ever_used_by_sender,alt_used_before_this_order,blocks_since_prior_use
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,16945015,1,59,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2144.5111562838,1901863,True,5,0x9bd959e6fccf10bdeeee7e80ef6a3c485e95df0fb338f81789b166bf62047a08,50100,False,1788547.85780654447954139717949046421596673197634032768300160,633.559463890577525946444794869094888523927579027730546551300,0x9bd959e6fccf10bdeeee7e80ef6a3c485e95df0fb338f81789b166bf62047a08,50100,633.559463890577525946444794869094888523927579027730546551300,,,True,True,17742
0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,16963641,2,11,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4144.008340027574371295,3023953,True,6,0x6300e0f0d5ea6a9fc80e4876d83be5109e743b7f7498af30b7d10ec668e14f56,10000,False,2668564.08297413425226953190541530537280828235648518997329948,1331.76084956439266722935482041034126067802643424331921631830,0x6300e0f0d5ea6a9fc80e4876d83be5109e743b7f7498af30b7d10ec668e14f56,10000,1331.76084956439266722935482041034126067802643424331921631830,,,True,True,59088
0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,16966396,5,18,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,2687.14708264371395029,1913554,True,6,0x6300e0f0d5ea6a9fc80e4876d83be5109e743b7f7498af30b7d10ec668e14f56,10000,False,1771729.31646181559316227051377698074597087888857777194026888,800.487310451077136369097642605303071962521022893462330072700,0x6300e0f0d5ea6a9fc80e4876d83be5109e743b7f7498af30b7d10ec668e14f56,10000,800.487310451077136369097642605303071962521022893462330072700,,,True,True,61843
0x1b7c5c26aa9724794d5b9685cb306f0c9dc05a8811a5d2caf734c6b5a1446268,17054619,3,48,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4013.4344747681,2792735,True,6,0x21ea19c922003b20fba65bfea71795cc10a8fdb697088b4fbaa2b27311d1daee,25000,False,2709387.78476706140833535225480497246735562603980592565922124,307.623794945633214406644132779949229392182081952720591751000,0x21ea19c922003b20fba65bfea71795cc10a8fdb697088b4fbaa2b27311d1daee,25000,307.623794945633214406644132779949229392182081952720591751000,,,True,True,1239
0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,18278116,4,26,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4045.0592960165,2544418,True,7,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,2483700.90446692247880546110632677091527118065978531729405611,244.462187149338945341630820051068983908961258505445469438200,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,244.462187149338945341630820051068983908961258505445469438200,,,True,True,981280
0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,18288047,2,10,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4657.8328240988,2854402,True,7,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,2849312.34160480253379971908997288172087341832400719529980613,17.8627605014718950360455962916252459005492708032255720867000,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,17.8627605014718950360455962916252459005492708032255720867000,,,True,False,
0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,18349880,8,45,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,4210.894902325255219588,2939952,True,7,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,False,2848798.85173641664683055339048622015942584051495228733538901,319.970461263079875317698707632885723196068550533201141209700,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,319.970461263079875317698707632885723196068550533201141209700,,,True,True,1049981
0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,18362149,9,27,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,6169.696621947221570347,3792264,True,7,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,False,3760407.13584453178922739749576526303882555533599776175253510,84.7165293667427065986551641337058585526051871839128091034000,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,84.7165293667427065986551641337058585526051871839128091034000,,,True,True,1062250
0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,18701871,5,9,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,9850.28198233373848904,5179130,True,5,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,False,5140577.00520402875309335385009924806824746741379249346336539,74.9974074057102548059661201226108042704553129991126624207000,0x5ec1db57ba323c8ee482a2b35809650743abc25b9c421dc838f6f29d60715bf8,450000,74.9974074057102548059661201226108042704553129991126624207000,,,True,True,1401972
0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,19687264,3,14,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x Settler,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,400000,False,6277.083525423276633932,3323093,True,5,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,False,3170641.99004148189106131020901761621216415926493562329310903,480.820636443168955863709019314981615541104235672094153786600,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,500000,480.820636443168955863709019314981615541104235672094153786600,,,True,True,985393
