actual_usdg,actual_vs_canonical_pct,bridge_fee,bridge_pool,bridge_used_by_sender,canonical_eth_out,canonical_usdg,canonical_used_before_order,canonical_used_by_sender,fire_input,router_family,router_sender,status,tx,usdg_shortfall
2.334657,-2.20316251955435700754364621969450580188116893119882801854730,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00124480070448528222436869688440337530320560250722649868839395,2.38725204224197105249939362495393083475789788792546435615935,True,True,4631.819918130973597053,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,0.05259504224197105249939362495393083475789788792546435615935
3.323093,-2.42354088327070081628502486437980284179273274654457510409430,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.0018095501276618812543025671475250720825047862898114957957254,3.40562983129427986840417367957586496220343698465600915654614,True,True,6277.083525423276633932,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,0.08253683129427986840417367957586496220343698465600915654614
3.023953,-3.52822081039887662992719226498355512968667111187768190512400,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00163308101572271636176259961051207025546237541675673073693388,3.1345467300409834748485480689787181993373215955770034022358,True,True,4144.008340027574371295,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,0.1105937300409834748485480689787181993373215955770034022358
2.296555,-23.5592784354149894368713708688187489657588443703996704017520,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00154560737118946950760150827210039755397549595301580968886126,3.00436070329298673930457203038272760070900914746684606723736,True,True,6844.6432008003,unlabelled router B,0x8f10b468b06c6fd214b65f87778827f7d113f996,OK,0x0e8761a434d77192d252711ea37f5bf9036540543cc62b7b302ac27cb97c98bc,0.70780570329298673930457203038272760070900914746684606723736
3.792264,-2.68398909909572799104265949958228668875924037263100327107380,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00209289821150189866575901494585913049643405586960347563280508,3.89685516791437022362261951274990937176096774766388116327606,True,True,6169.696621947221570347,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,0.10459116791437022362261951274990937176096774766388116327606
2.939952,-0.675577492964569081968959554876836730739894143860755308284800,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00158886624744903525149987868945364833887514712546139399167421,2.95994874754167823191479439356331155984276254345661391977119,True,True,4210.894902325255219588,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,0.01999674754167823191479439356331155984276254345661391977119
2.792735,-6.59478083599871235052198165957820955392335716726366338657340,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00155623222808995408980565999593779508753935328821783410640127,2.98991322433118411990965059620936735456001146689372882547773,True,True,4013.4344747681,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x1b7c5c26aa9724794d5b9685cb306f0c9dc05a8811a5d2caf734c6b5a1446268,0.19717822433118411990965059620936735456001146689372882547773
16.327337,-1.56455081839753943958889809612928554746929578233169972046350,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00869911699051853088100425870546074593365769973393142212288939,16.5868466449295907244003813327472686412731367557148068172132,True,True,80411.152599781758990138,0x Settler,0x39b38686a19836ac10162c490e4558e120cbbe5f,OK,0x20a5232eb7c5d688b2ec7815e59c6428c7c7c76f1ef6c0101e2f6fc272cb6886,0.2595096449295907244003813327472686412731367557148068172132
5.17913,0.15780899295156758366344324712922098530716287610941924357100,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00278641318355984899564474568078795378639757266967447567895093,5.17096974472002708019082374798045798879029910185175253684481,True,True,9850.28198233373848904,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,-0.00816025527997291980917625201954201120970089814824746315519
2.084315,-3.84480865048453049022426857652839949020392014606297102890680,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00110886473001596603295515008953462733734938725622685639457773,2.16765727439894794657701780045774240527472765668698958916271,True,True,4679.502885037473162617,0x Settler,0xaa61254627b7392b0bc922097b10eb0587db2be7,OK,0x5717d76e8646d3e2983d565210ccc95b5cb61ae0d81c82a84d5b0eb8b175ea65,0.08334227439894794657701780045774240527472765668698958916271
1.901863,-4.59350262733750733831772506991865181341932196372724255219830,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00103535504092340223968435534103357443051343804828249449530151,1.99343132006117901295687720091466952900404694209570789700254,True,True,2144.5111562838,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,0.09156832006117901295687720091466952900404694209570789700254
2.401443,-4.99750018686383174632751950555544187744400117403799226737890,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00132227222505804048860758356936520708392201076326461255488726,2.52776822159783643224516874556760741577569816984429156748987,True,True,5201.553144158262515977,unlabelled router B,0x8f10b468b06c6fd214b65f87778827f7d113f996,OK,0x64fa0aa1c397a6b32f8bdff2c53a9bb079e8ce156b5418351aa19d9b8c41e791,0.12632522159783643224516874556760741577569816984429156748987
2.854402,-4.59574871369638572599623614423558945729039407039722024941630,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.0016061474340559658342576207603995610393408685307475706994609,2.9919023120196976811233748915946876985858552774118504061391,True,True,4657.8328240988,unlabelled router B,0x8f10b468b06c6fd214b65f87778827f7d113f996,OK,0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,0.1375003120196976811233748915946876985858552774118504061391
2.544418,0.50603887130278773660751017497260399680081029357714225532700,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.0013605987963062191818862355749985798380166711817564808695894,2.53160708408587044474120990846578565477905138182035858837839,True,True,4045.0592960165,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,-0.01281091591412955525879009153421434522094861817964141162161
21.389005,-2.32610368160977984448276385581442194678708228411198228469790,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.0114340555462233062543117302283823068317558767778871547024379,21.8983841192099950557377917408093163195613752722205742379126,True,True,59078.616348239700,0x Settler,0x39b38686a19836ac10162c490e4558e120cbbe5f,OK,0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,0.5093791192099950557377917408093163195613752722205742379126
5.938436,-0.825224398259306238347412450537734244957787836223484649538300,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00307900557586710834392998829235909280653945245032726790308074,5.98784919246721228038710923541939217996198524454710697670323,True,True,11832.3889739029,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0x88de39808ac0335c509d0a853382fef16634d9d4d5d185b468ecb158982d60a8,0.04941319246721228038710923541939217996198524454710697670323
1.913554,-6.67705493826936607588775782599320839412976397970276158683880,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00106681031150512354152893864464100768201008458257209147092021,2.05046465125402458354807954561566953360824388314626838906053,True,True,2687.14708264371395029,0x Settler,0x1d4b86491ec211257cbedd77a4380a7494624eff,OK,0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,0.13691065125402458354807954561566953360824388314626838906053
2.874755,-2.68967519907687787808643193753750862170481779823433111452390,25,0x85aa9a7c2ef9deec7bcbc5e78c6b26d2598c2aaf3f810b267fa4f8f9b0854142,True,0.00158644714178254269927023127509984905071462650779605502195005,2.95421375468754883788227352508552190873668130803196303908899,True,True,9504.309031260407491361,unlabelled router B,0x8f10b468b06c6fd214b65f87778827f7d113f996,OK,0xcd5a6a7752daf94ef19ddf3ddd47d3c2ebccf65ae9bdd308f72e674c9015221f,0.07945875468754883788227352508552190873668130803196303908899
9.310182,-5.40752294309260882184322861270560581270587719962164096269980,25,0x85aa9a7c2ef9deec7bcbc5e78c6b26d2598c2aaf3f810b267fa4f8f9b0854142,False,0.00511918899502400201869475556566140770354552934527865442080376,9.8424127263301707264295500517458527972204190488832185548853,True,True,17043.088482665067795853,Uniswap UniversalRouter,0x8876789976decbfcbbbe364623c63652db8c0904,OK,0xd87fc3352f51c8f3164821a296f9f3ce9a5aafdfc19cd7ec19ecff5702b8f6df,0.5322307263301707264295500517458527972204190488832185548853
3.951908,-1.45491677766812396984792097400157840654461017011971506326730,100,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,True,0.00204245760531349291731905657140331387384400042692599899911192,4.01025385618065527224938485490574399204091473409193091713313,True,True,9346.3422642319,0x Settler,0xaa61254627b7392b0bc922097b10eb0587db2be7,OK,0xdfef287a4a46121ca8bce8e9dc1052af434cced44422621119ed86088c727c21,0.05834585618065527224938485490574399204091473409193091713313
