pool,token_id,owner,capital_deployed_gross_usdg,external_capital_required_usdg,peak_marked_exposure_usdg,realized_withdrawals_usdg,realized_fees_usdg,residual_fire,residual_usdg,residual_spot_mark_usdg,inventory_liquidation_usdg,liquidation_haircut_pct,price_age_median_blocks,price_age_p95_blocks,net_pnl_usdg,roi_on_gross_pct,roi_on_external_pct,first_seen,last_seen
FIRE_USDG_40pct,206269,0xc6312da2663570a2aee12b27a0c6da4683339acd,2.69605689386152213822615928655013905581822029506157616465185,1.87804547089172201132576802354657227662089399777115112812973,3.01887199186974812173316106148097639738172596901453555648805,0,9.10793667913678408817873512336259232004403474841313403430965,2185.60829328591013816675656088695351697669569944726960388855,1.61309441348921739522911292842813322575020164622224255659498,3.44327363290887498840710729461027409968455918767492501378994,3.33712446539250171910526287839052842709632783165739843270792,-5.79993294591295489379548921384626871782110661645703898577840,13022,40136,9.74900425066776366905783871520298169132214228500895630236575,361.602319033572398660966522252320085461078925170741633031012,519.103738528695014555877804715093998980511728140242776250715,2026-07-19T20:12:12+00:00,2026-08-08T16:43:42+00:00
FIRE_USDG_40pct,310338,0x490f1d47c41ba36f103a8db40b3c4db532b41899,47.9978710662149320989476562733501295983859511281838050328410,17.1416643675484078349369281930919004044574831610731063969994,26.4645868968338034788219219344178762994207162598682808306641,40.5179043080794455599311311062658472280789859604326777329248,24.8829736882718020886228932847119478596719161229657550726284,0,0,0E-63,0E-63,0,1695,10218,17.4030069301363155496063681176276654893649509552146277727122,36.2578725754902542306981334320399222866230186371910497445551,101.524604361538346907588670202809195737654862691256535745340,2026-07-23T16:56:03+00:00,2026-07-31T13:09:33+00:00
FIRE_USDG_40pct,315127,0x1983824aa3cf023dfd233115e801520b9d49a258,59.0637947239911480113443745053954060879917601105927695593625,28.1132843405642074662036556585839087164635540944500442614322,49.7423901168352969787183854821895662757055791811583897412599,50.2369034108576507306213164739921592039966957309424791461565,67.3873798875358767176828806113785316421546265932882275748960,0,0,0E-63,0E-63,0,766,7875,58.5604885744023794369598225799752847581595622136379371616895,99.1478601198234043799632598453100598538341342894008553485574,208.301840030502551034448549335029227109416305212869115946141,2026-07-23T20:04:11+00:00,2026-07-27T11:33:19+00:00
FIRE_USDG_40pct,317145,0x490f1d47c41ba36f103a8db40b3c4db532b41899,10.3504738991767437881330890434961240071436224707109701949249,10.3504738991767437881330890434961240071436224707109701949249,10.3504738991767390848368923322953379180169538765217209853266,9.66565926921986115692630867665540401076491440322229444938398,0.279000070610611071484998408008046053535919037053488968370158,0,0,0E-63,0E-63,0,897,1386,-0.40581455934627155972178195883267394284278903043518677717076,-3.92073409680835238591868480608536287340976897491742383626649,-3.92073409680835238591868480608536287340976897491742383626649,2026-07-23T21:47:49+00:00,2026-07-24T01:40:40+00:00
FIRE_USDG_40pct,329428,0xd0010d99334e89b18f42c1517ad69675113878da,10.5594530554961241278944859756359092392274749096684389090546,10.5594530554961241278944859756359092392274749096684389090546,10.9451833188566887873091948635747588820948389896274904299338,10.0155404185935131735985773635568217252464095416071663809378,9.40816508809407618313284844669558686253940815023600222992390,0,0,0E-63,0E-63,0,2335,4481,8.8642524511914652288369398346164993485583427821747297018071,83.9461324805803420579392005822066954086728662388409929678155,83.9461324805803420579392005822066954086728662388409929678155,2026-07-24T12:33:38+00:00,2026-07-25T13:43:17+00:00
FIRE_USDG_40pct,338761,0x1aa511c41636dc4e1dafe5092157eb606da01d03,22.6215521549656290463349929093258204949180089692679536074403,9.96578261102188967417675047858310403859383212273894275910098,20.8491993266598383574375447315472483938348055292550073054012,19.6366159420074656796933258099682149400585082312907805187746,21.6870722997222993462583497463149289185326119539449747503551,0,0,0E-63,0E-63,0,772,5971,18.7021360867641359796166826469573233636731112159678016616894,82.6739737337557234158839352164647744372569147630069324531075,187.663496352810992012881609334154861993557199569312024915745,2026-07-24T21:09:45+00:00,2026-08-06T23:35:22+00:00
FIRE_USDG_40pct,338831,0xd0010d99334e89b18f42c1517ad69675113878da,8.06341215424928434446793257378632153247453773794375182702183,8.06341215424928434446793257378632153247453773794375182702183,8.06341215424927876126779365927838251602457532330912322226838,6.82852869506151533657997135792883064843146704457174439375871,0.257278205037702889983926735206200891939181617064585641846553,0,0,0E-63,0E-63,0,526,3795,-0.97760525415006611790403448065128999210388907630742179141657,-12.1239648358404249273785418830144205095953605075541524535125,-12.1239648358404249273785418830144205095953605075541524535125,2026-07-24T21:15:22+00:00,2026-07-26T17:33:27+00:00
FIRE_USDG_40pct,346112,0xe49193acd219557a150e35ccc2a66f89c42482e6,32.5483547803810465159546965434316439929858579369665013550911,32.5483547803810465159546965434316439929858579369665013550911,32.5483547803810191582712776400678948341111579467745771187014,27.5011888159280355292410266114697652841257643102209744129607,35.8926962402341096012350514275326597413458081263427623338210,0,0,0E-63,0E-63,0,2921,44909,30.8455302757810986145213814955707810324857144995972353916906,94.7683238796870064661043105791548361435395815285246118562240,94.7683238796870064661043105791548361435395815285246118562240,2026-07-25T08:55:59+00:00,2026-07-30T15:39:43+00:00
FIRE_USDG_40pct,371611,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,12.0323231797977019015320335349085297779623349355614799181732,12.0323231797977019015320335349085297779623349355614799181732,12.2036401900529793147113722842358946666776173701748314746227,10.2560540931489672484529278172135348437210495621284184894442,8.64666072316168386955773436460538644544643624929728525707947,0,0,0E-63,0E-63,0,2442,6766,6.8703916365129492164786286469103915112051508758642238283505,57.0994606265924810337556977565595168180997505938717921983035,57.0994606265924810337556977565595168180997505938717921983035,2026-07-27T09:33:43+00:00,2026-08-08T01:13:49+00:00
FIRE_USDG_40pct,378847,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2.09639021559286899228219703440200387376411311541609273360907,2.09639021559286899228219703440200387376411311541609273360907,2.09639021559286758112782334002078204022503129119299574035101,1.33007083066694103817762733963168822777911661537823139136312,0.804963875775500425014405865781915732481176831758870827153556,0,0,0E-63,0E-63,0,3462,6579,0.03864449084957247090983617101160008649618033172100948490761,1.84338252306923821056899181137108303722418859025250741881816,1.84338252306923821056899181137108303722418859025250741881816,2026-07-27T22:25:55+00:00,2026-08-06T01:21:40+00:00
FIRE_USDG_40pct,379757,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,196.674781969812752595934716576740184873177519029710313630088,88.8360176679901415700242985841088519882455281126914410127625,248.471448516293362281737550934254730010282816972553561893831,67.5290654349880047764099179391908805143137749566902424286950,159.559312683617425063808472471566290985366944307669218224001,115960.353539085782715649511850341994541001841491167044341357,85.5848685488421569339285214462661078095047553005486737686084,182.687460067984480803773518244691174029035796488243849580422,177.055574871130466318931525835641487649721981150223581043006,-5.79993294591295489379548921384626871782110661645703898577847,2662,8903,207.469171019923143563215199669658474276225181384872728065614,105.488445921738559098193907336496404583070881974125196307315,233.541728305859797865341965939291461141465326859791998943768,2026-07-28T00:24:11+00:00,2026-08-08T21:24:39+00:00
