operator,positions,pools,capital_deployed_gross_usdg,external_capital_required_usdg,peak_marked_exposure_usdg,realized_withdrawals_usdg,realized_fees_usdg,residual_spot_mark_usdg,inventory_liquidation_usdg,net_pnl_usdg,roi_on_external_pct
0x7777de7a669c6e76e059fae0e15a0ea041fd752c,2,FIRE_USDG_40pct|FIRE_USDG_50pct,481.285224849298755343371268981075991634763909592011785822422,174.666745929514456536241423237025912797423144317806906022005,451.598084048774315463824635143072868029301435619982589053321,263.580577852652432653150481484753772227902971671385586090825,661.704052110049024843604937359463644612753563827733487435388,254.097610607079074603888606024053723489832358465120014306448,246.098281798834285778801925097262817969017792178163994070260,690.097686912236987932186074960404243174910418085271281774052,395.093916268824909583255518577543012327790755242066524681632
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,2,FIRE_USDG_40pct|FIRE_USDG_50pct,577.306029154044365409635206061828632553073709330294377688325,134.443880044567114442313825718366610976167034861137524422217,711.140435823801258287886148242778569946597994819484415753165,0,620.317571587771908414313478804998514269810836937375665633982,664.909563860478055849559306965504714250512018590890540866651,643.569561673568551472435824547653659506141536986731865173592,686.581104107296094477114097290823541222878664593813153119249,510.682303932093991669277061661479000321028885308465691603552
0xe49193acd219557a150e35ccc2a66f89c42482e6,2,FIRE_USDG_40pct|FIRE_USDG_50pct,216.057245050620862184594257051880778699424312650039364648271,70.0778943895904636965450942723168309583521980752399896549344,215.206062672368836446634352354043304461510935135220196374229,226.351299903487829833234211757131103750865203469953420610083,471.740790237772674576383330933458278134049236161146575058540,0E-63,0E-63,482.034845090639642225023285638708603185490126981060631020352,687.855777188194511544628089277792091177683790028331611454301
0x1aa511c41636dc4e1dafe5092157eb606da01d03,3,FIRE_USDG_40pct|FIRE_USDG_50pct,273.004244804596316027368543264277895449019166047202510549648,89.5111504591848529917580925518730422080503601894450048910352,337.923820162961458135336092383140619194735735293206518940396,175.717642685578564455755600178018852402653658093916766714171,407.831671375927114712905572029517278295344160057851874514033,166.814099856030474422158703314610850256480939325099770702518,161.617664294585264574411233756991203688536994001470369293012,472.162733551494627715703862700249438937515646106036499971567,527.490408881283023565847090248757756488521215314962702310905
0x1983824aa3cf023dfd233115e801520b9d49a258,1,FIRE_USDG_40pct,59.0637947239911480113443745053954060879917601105927695593625,28.1132843405642074662036556585839087164635540944500442614322,49.7423901168352969787183854821895662757055791811583897412599,50.2369034108576507306213164739921592039966957309424791461565,67.3873798875358767176828806113785316421546265932882275748960,0E-63,0E-63,58.5604885744023794369598225799752847581595622136379371616895,208.301840030502551034448549335029227109416305212869115946141
0x677c32e3d7993e04ffbd910566ee9dff59448070,1,FIRE_USDG_50pct,90.4729398623361158660226691021237660400774566504757776851449,52.2182974910605744899863158412400568934257672622428731885197,104.373752447265101524566093976737319286722526598042191016286,0,38.2546423712755413760363532608837091466516893882329044966252,107.961442066384688369022667420602503069455618763193281353825,104.382222244453778356683228656121784982154597114256934247909,52.1639247533932038666969128148817280887288298520140610593891,99.8958741661834553785670364461965661621445369590093375002815
0x271070932c8111fb474a3ef55b9a758fd6b115cc,1,FIRE_USDG_50pct,41.5388010103105633373477205588810035522338022111559298067836,5.46761313826339493128941063435590331981676457159925575236998,41.7125570638708131507192550718850636583415497681820248457713,39.5153969726023716556348583429240230133022922717770917199207,53.0925796292177885943544447643424806462851164535967783451930,0E-63,0E-63,51.0691755915095969126415825483855001073536065142179402583301,934.030523010448729709232188406801474213540277604127165067590
0x490f1d47c41ba36f103a8db40b3c4db532b41899,10,FIRE_USDG_40pct|FIRE_USDG_50pct,448.796243912455088971965201667382349046537046174992631186425,320.771111584102389896095598629884203144760303360173351691627,320.099181071456590661499071098371303763822788375145644792099,414.456403493503560738491797155500467331143790673608810245222,47.9203766850285955910212931392010496077905080983343342910454,0E-63,0E-63,13.5805362660770673575478886273191678923972525969505133498430,4.23371549857176320001860163004979562792918207710497999215888
0xc6312da2663570a2aee12b27a0c6da4683339acd,1,FIRE_USDG_40pct,2.69605689386152213822615928655013905581822029506157616465185,1.87804547089172201132576802354657227662089399777115112812973,3.01887199186974812173316106148097639738172596901453555648805,0,9.10793667913678408817873512336259232004403474841313403430965,3.44327363290887498840710729461027409968455918767492501378994,3.33712446539250171910526287839052842709632783165739843270792,9.74900425066776366905783871520298169132214228500895630236575,519.103738528695014555877804715093998980511728140242776250715
0xd0010d99334e89b18f42c1517ad69675113878da,2,FIRE_USDG_40pct,18.6228652097454084723624185494222307717020126476121907360764,18.6228652097454084723624185494222307717020126476121907360764,19.0085954731059675485769885228531413981194143129366136522022,16.8440691136550285101785487214856523736778765861789107746965,9.66544329313177907311677518190178775447858976730058787177045,0E-63,0E-63,7.88664719704139911093290535396520935645445370586730791039053,42.3492685374444417226479340746602382950254050032556819474227
0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,FIRE_USDG_40pct,12.0323231797977019015320335349085297779623349355614799181732,12.0323231797977019015320335349085297779623349355614799181732,12.2036401900529793147113722842358946666776173701748314746227,10.2560540931489672484529278172135348437210495621284184894442,8.64666072316168386955773436460538644544643624929728525707947,0E-63,0E-63,6.8703916365129492164786286469103915112051508758642238283505,57.0994606265924810337556977565595168180997505938717921983035
0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2,FIRE_USDG_40pct|FIRE_USDG_50pct,4.70354807089706356325308482940404708892447577549354384840194,3.50695999087726252140435746067940927532802213002105650611673,5.81255834236450981446485876194983466521571900150125659082638,5.16730354603823736613288663778084532965470470707081965290119,2.70674631831071749956638337843757123039854387001592833787901,0E-63,0E-63,3.17050179345189130244618518681436947112877280159320414237826,90.4059870001195383295046060253329509532342783639210664249331
