tx_hash,timestamp,block,route_shape,n_v4_hops,suspect_pool_50_touched,suspect_pool_40_touched,canonical_pool_touched,classification,cycle_asset,cycle_input,cycle_output,gross_profit,gross_profit_pct,gas_payer,gas_cost_eth,net_profit_after_gas_if_attributable,profit_recipient,profit_recipient_confidence,all_residual_tokens,accounting_balanced,trace_ok,weth_wrap_events,swap_sender,tx_from,protocol_fee_active
0x1b7c5c26aa9724794d5b9685cb306f0c9dc05a8811a5d2caf734c6b5a1446268,2026-07-23T05:59:24+00:00,17054619,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,4013.434474768100000000,2.792735000000000000,0.000000000000000000,0.000000,0x43370188473a398394e4ba4a7c7cbb2c6265e22a,0.000049676600064000,,,low,FIRE:-4013.4344747681|USDG:+2.7927350000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x43370188473a398394e4ba4a7c7cbb2c6265e22a,no
0xf50ffe042627593be4497336916db1f1ff1386c3e9a1055da47b66365dfa06f7,2026-07-23T12:44:10+00:00,17296836,FIRE/USDG@450000 -> FIRE/USDG@400000 -> FIRE/USDG@25000 -> FIRE/USDG@500000,4,True,True,False,ONE_WAY_ROUTE,FIRE->USDG,10000.000000000000000000,7.248075000000000000,0.000000000000000000,0.000000,0x35f17f653000b663c3f28667bcd68b2e17d460d7,0.000113422122450000,,,low,FIRE:-10000.0000000000|USDG:+7.2480750000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x35f17f653000b663c3f28667bcd68b2e17d460d7,no
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,2026-07-23T12:45:47+00:00,17297811,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.003506055801907824,7.055577000000000000,0.000000000000000000,0.000000,0xd71212080d90ffa50a80bff2af2ade6f99f29b96,0.000054292498560000,,,low,ETH:-0.0035060558|USDG:+7.0555770000,False,True,False,0x1521027b665fa38fa4a642991607ad708376dd7b,0xd71212080d90ffa50a80bff2af2ade6f99f29b96,no
0x630c9b30fa769998cca874382f6ce605547baff0d96be7a5f15a2778cb2bd549,2026-07-23T12:46:01+00:00,17297948,FIRE/USDG@25000 -> FIRE/USDG@500000 -> FIRE/USDG@50100 -> FIRE/USDG@450000 -> Index/USDG@9500,5,True,False,False,ONE_WAY_ROUTE,FIRE->Index,20000.000000000000000000,1607.229734823383987075,0.000000000000000000,0.000000,0x35f17f653000b663c3f28667bcd68b2e17d460d7,0.000103371129204000,,,low,FIRE:-20000.0000000000|Index:+1607.2297348234,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x35f17f653000b663c3f28667bcd68b2e17d460d7,no
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,2026-07-23T12:48:53+00:00,17299663,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.003493923201597684,6.905387000000000000,0.000000000000000000,0.000000,0xeeef618a70e663813331892ee129709845570a1f,0.000085050090780000,,,low,ETH:-0.0034939232|USDG:+6.9053870000,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xeeef618a70e663813331892ee129709845570a1f,no
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,2026-07-23T12:49:17+00:00,17299899,FIRE/USDG@25000 -> FIRE/USDG@450000 -> FIRE/USDG@500000,3,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,18421.108105528225337389,10.351809000000000000,0.000000000000000000,0.000000,0x35f17f653000b663c3f28667bcd68b2e17d460d7,0.000093195823424000,,,low,FIRE:-18421.1081055282|USDG:+10.3518090000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x35f17f653000b663c3f28667bcd68b2e17d460d7,no
0x97b9df076fe1a90f52805aa1e411b3aea2d37c841459cb7e946b4df94e341ce7,2026-07-24T01:17:53+00:00,17748013,FIRE/USDG@400000,1,False,True,False,ONE_WAY_ROUTE,FIRE->USDG,5198.175976119336126776,3.395128000000000000,0.000000000000000000,0.000000,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,0.000046639087160000,,,low,FIRE:-5198.1759761193|USDG:+3.3951280000,False,True,False,0xa687b664662b96b180346d699a6d5b42e9b05d31,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,no
0x01db8a735a57fb324ebe09bbdf29dae1e3dd51d9224019b363d984cdf2a9ae09,2026-07-24T07:18:05+00:00,17963321,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.004459605982533253,8.909087000000000000,0.000000000000000000,0.000000,0xeeef618a70e663813331892ee129709845570a1f,0.000092660967000000,,,low,ETH:-0.0044596060|USDG:+8.9090870000,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xeeef618a70e663813331892ee129709845570a1f,no
0x3197c6af0b19100f22c80abb90ddbdcd138ce555aee809b41b9e92a39029e604,2026-07-24T07:18:56+00:00,17963828,USDG/VIRTUAL@3000 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,0.000111484559340000,,,low,ETH:-0.0076624473|USDG:+1.2945740000|VIRTUAL:+23.9946875298,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x95d5a1aa091655dbb5b61cf011b3288ac2f79f92,no
0x15fb712a8b6537854383ca2ad14d3d02eb1a0f8ef528600583ab23eccef738df,2026-07-24T07:18:57+00:00,17963837,FIRE/USDG@25000 -> FIRE/USDG@400000,2,False,True,False,CLOSED_CYCLE,USDG,0.523125000000000000,0.606295000000000000,0.083170000000000000,15.898686,0x440e1da19f8569b5d92bc935707461a9f883df2f,0.000014457382808000,,0x5162700f6f252136cd8a2d7bb827b799f11a1a45,medium,USDG:+0.0831700000,True,True,False,0x5162700f6f252136cd8a2d7bb827b799f11a1a45,0x440e1da19f8569b5d92bc935707461a9f883df2f,no
0x203f02389c183e2bc468da547fc60172b995b1f0ae25a73356fa8ab0751b1e08,2026-07-24T15:59:45+00:00,18275319,ETH/FIRE@3000 -> FIRE/USDG@400000 -> USDG/VIRTUAL@3000,3,False,True,True,ONE_WAY_ROUTE,ETH->VIRTUAL,0.007353055632171868,42.879301883939944023,0.000000000000000000,0.000000,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0.000109893316506000,,,low,ETH:-0.0073530556|VIRTUAL:+42.8793018839,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,no
