tx_hash,from,to,amount_eth,trace_path,source
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.004120771587275979,root.11.1.0.0.5.0.6,blockscout_nested
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0.004120771587275979,root.11.1.0.0.8.0.0,blockscout_nested
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,0x95f71ca6a0807de9c32f84d4d41ea32915a77665,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.004120771587275979,root.11.1.0.0.9,blockscout_nested
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000035414705069776,root.0.2.0.0.1.0.0.0,blockscout_nested
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x1521027b665fa38fa4a642991607ad708376dd7b,0.0035414705069776,root.0.2.0.0.18.0.0,blockscout_nested
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,0x1521027b665fa38fa4a642991607ad708376dd7b,0x5884b599ff8c2a5ec74ff13f57c6fcfb9849252c,0.0035414705069776,root.0.2.0.0.18.0.0.0,blockscout_nested
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,0x1521027b665fa38fa4a642991607ad708376dd7b,0x8366a39cc670b4001a1121b8f6a443a643e40951,0.0035414705069776,root.0.2.0.0.19,blockscout_nested
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x3cf17add1de1cb251b236a4f3571c0d34e41338b,0.00016800281043742,root.0.4.0.0,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0x00000000000014aa86c5d3c41765bb24e11bd701,0x1d4b86491ec211257cbedd77a4380a7494624eff,0.005454826957588302,root.1.1.1.4.0.2.0,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.005454826957588302,root.1.1.1.5,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xc6b81b429797e0f555440b70cd99e032d7ae947e,0.005454826957588302,root.1.1.1.5.0,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x1d4b86491ec211257cbedd77a4380a7494624eff,0.005454826957588302,root.1.1.1.7.0.0,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0x1d4b86491ec211257cbedd77a4380a7494624eff,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0.005454826957588302,root.1.1.1.8,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.000008100418032006,root.1.2.0,blockscout_nested
0x135bd717c3349de7177b85bdc54da7f302b9f20b3f31114010891e39108e4b5f,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0x35f17f653000b663c3f28667bcd68b2e17d460d7,0.005446726539556296,root.1.3.0,blockscout_nested
0xa97ad7f27d90da24c92f43509caac6d31a648688eae53f8eb698c43909a8d938,0x8366a39cc670b4001a1121b8f6a443a643e40951,0xe3fa8fa0d0a3f59c9b08ea0fe36d654a506850cc,0.000035292153551491,root.5.0.0.0.0.0.0.0,blockscout_nested
