operator,positions,pools,events,initial_capital_usdg,additional_capital_usdg,realized_withdrawals_usdg,realized_fees_usdg,current_inventory_usdg,capital_deployed_usdg,net_pnl_usdg,roi_pct
0x7777de7a669c6e76e059fae0e15a0ea041fd752c,2,FIRE_USDG_40pct|FIRE_USDG_50pct,47,142.581282189420093396724905992,411.325320992720820737267527772,296.433705325380606675507810396,825.222929611103103824571892504,247.794952901985113524701945602356990304095461053581702117004,553.906603182140914133992433764,815.544984656327909890789214738356990304095461053581702117004,147.235107863148643220395136256797222758954361644582099939620
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,2,FIRE_USDG_40pct|FIRE_USDG_50pct,30,194.689700497593834393666417696,485.606781027192520620122173060,0E-9,755.037594804556408906150776356,648.062290441692025415069230038780997472395554688578857882259,680.296481524786355013788590756,722.803403721462079307431415638780997472395554688578857882259,106.248293700035401408267883789800536946913523110005009072343
0xe49193acd219557a150e35ccc2a66f89c42482e6,2,FIRE_USDG_40pct|FIRE_USDG_50pct,35,62.330837957611030504609244468,205.209964713340548882652434708,309.472094478204855779774495588,611.431149645537973822870391948,0E-9,267.540802670951579387261679176,653.362441452791250215383208360,244.210391435642691932322358608323653527348614955517216983795
0x1aa511c41636dc4e1dafe5092157eb606da01d03,3,FIRE_USDG_40pct|FIRE_USDG_50pct,53,37.013627485860157079619672492,294.601098802956687520107633960,163.990031873252571705254801320,523.376042912748689643977512104,162.724366055465954075907829699935853779773549752078646794677,331.614726288816844599727306452,518.475714552650370825412836671935853779773549752078646794677,156.348820920904652368416748499251150552511658894191524005249
0x490f1d47c41ba36f103a8db40b3c4db532b41899,10,FIRE_USDG_40pct|FIRE_USDG_50pct,62,235.053079770183515268909805864,401.174173209851299663591542904,666.080339748362055782754562824,76.563128858230446589952619172,0E-9,636.227252980034814932501348768,106.416215626557687440205833228,16.7261328602497150213070791511531884782574919903731112017021
0x1983824aa3cf023dfd233115e801520b9d49a258,1,FIRE_USDG_40pct,13,26.976782492896852725776055232,35.091194973299768905878341072,61.184635704375838057657519456,74.854316138474080770596836248,0E-9,62.067977466196621631654396304,73.970974376653297196599959400,119.177355854618059248871422168996980778141596890659521759743
0x271070932c8111fb474a3ef55b9a758fd6b115cc,1,FIRE_USDG_50pct,17,8.968458817236828015632612928,40.337555501130096691447497840,47.750480985005974382359752792,58.304902359045938827779765432,0E-9,49.306014318366924707080110768,56.749369025684988503059407456,115.096240915472554417027846013581303490777030954222723836871
0x677c32e3d7993e04ffbd910566ee9dff59448070,1,FIRE_USDG_50pct,3,64.288237275179085838999293616,41.059755159029737561301280984,0E-9,38.847333427451894429067326616,105.126546434876767346606637484423909561511822969464641775973,105.347992434208823400300574600,38.625887428119838375373389500423909561511822969464641775973,36.6650436668189970535671912741419637770739495789100178107082
0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,FIRE_USDG_40pct,12,14.614203569346826824550963180,0E-9,15.389165232400420234351536888,14.513187750767794577595531056,0E-9,14.614203569346826824550963180,15.288149413821387987396104764,104.611581064110514325619173737098015600728176009803671017971
0xc6312da2663570a2aee12b27a0c6da4683339acd,1,FIRE_USDG_40pct,10,2.256449526572941884770642436,1.193324664945350895136925448,0E-9,10.735429685768296361730659608,3.35982381905014363401143210486274292870390894243770263494429,3.449774191518292779907567884,10.6454793133001472158345238288627429287039089424377026349443,308.584815188002964534439944502087574495843124707321793768369
0xd0010d99334e89b18f42c1517ad69675113878da,2,FIRE_USDG_40pct,7,19.841574434590447643868965300,0E-9,19.820200884866799714644702376,10.354471384037363447164887084,0E-9,19.841574434590447643868965300,10.333097834313715517940624160,52.0780136091402982945949830916713628041240133495022208759057
0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2,FIRE_USDG_40pct|FIRE_USDG_50pct,9,5.555598396009678408668691992,1.295912130927309291333440876,7.012927793351103298597702524,3.550778290417378361079885716,0E-9,6.851510526936987700002132868,3.712195556831493959675455372,54.1806882181213710259014692471152650771170199214536891790434
